track_name,track_id,artists,artists_ids,album_name,album_id,duration_ms,explicit,popularity,popularity_per_artist,followers_per_artist,album_popularity
Bam Bam,7ixiCZEHWHc8FxaQXQh2P4,['Sister Nancy'],['21pMSs2JHWwwy2kp1QIIVB'],One Two,4H9eL5O62tZRXwksrtMQfN,196506,False,69,52,127091,0
On & On,5dd8tOJwLqEvasVqvvrJzV,['Erykah Badu'],['7IfculRW2WXyzNQ8djX8WX'],Baduizm - Special Edition,0ANbEIqol6OKQl36DYBAom,225973,True,45,67,2655477,46
It's Your Thing,2oezpnnea1VXHpJEbqnBhw,['The Isley Brothers'],['53QzNeFpzAaXYnrDBbDrIp'],It's Your Thing: The Story Of The Isley Brothers,21O10zQ7YrFOTgfyRmopHs,166506,False,55,62,1695296,53
Money (That's What I Want) - Single Version / Mono,6OsefWNJtsWqO7myze1HEX,['Barrett Strong'],['3MKwHkhEjcvzva2rasZeWD'],True Motown / Spectrum 3 CD Set,1CEjdDJCspyqQjPC50CrzF,158493,False,61,45,25783,0
These Arms of Mine,1PXMeiIRNZnj4jj77DPwKz,['Otis Redding'],['60df5JBRRPcnSpsIMxxwQm'],The Very Best of Otis Redding,28Pt7Q4ikXNPOEbtGnKlFA,154293,False,49,70,2091653,54
Genius - Mix Cut,38HIRCxYWKKA3PNfMfzLyH,['CAZZETTE'],['1IELhvOMg5VQlU7syRm6CS'],Desserts,0Xnhwnj9GHgGPOXJsXmyzL,216688,False,21,47,335489,0
Rescue Me,1GY8zOFi8rC39xXnD0tKO8,['Fontella Bass'],['6k3YMXJ1MJLgUEAlSPC6hA'],Very Best Of,53TLQwKkFTn0eSqMzPsse6,171026,False,69,50,36751,0
Skin Deep,1swbHpmgYa7c8e9bTiYFf0,['Dusky'],['5gqoUf9vKKv96b1c0GBKwu'],Skin Deep,0odBV6wS92Pa7YzcsYSs8I,383687,False,42,44,112533,0
Good Thing Going,2YmuRtJSxhPRdslwoqBgE1,['Sugar Minott'],['6iTD167bhyfYwEd7fd2bGn'],Good Thing Going,0ebppSJmLI1w6eaq1SnkSR,196280,False,39,43,82675,0
You Send Me,5aivQ5CkXXHJoMLy0o92HL,['Sam Cooke'],['6hnWRPzGGKiapVX1UCdEAC'],The Man Who Invented Soul,3Seie4YIVLWtPw2hQrouNY,162466,False,55,68,1487890,68
Soul Meets Body,5yc59J3MR3tVDPTOgwgRI5,['Death Cab for Cutie'],['0YrtvWJMgSdVrk3SfNjTbx'],Plans,1NFGnxmeIEBakre4DvLaJq,229413,False,62,64,1472468,65
Midnight City - Eric Prydz Private Remix,53YYzXe4shE5FF13XBrhGz,['M83'],['63MQldklfxkjYDoUE4Tppz'],Midnight City [Eric Prydz Private Remix],0zw1q4HSBJa0movK0zLq6H,357241,False,48,71,2238954,0
Got To Give It Up - Pt. 1,6rrUcrhWlW3CqGYT0zxYlz,['Marvin Gaye'],['3koiLjNrgRTNbOwViDipeA'],Boogie Nights / Music From The Original Motion Picture,4HUntZg0YV0qCvRxmIhq2U,247800,False,46,74,5008462,51
Come Over [Missing You],4MAo6tvIRCEjUZLOrC9Z4q,['Busy Signal'],['4RfTXjK9aiiIKDaKUHpL57'],REGGAE Music Again,7JRTrGi5KSTpPQIg7f5DhM,208666,False,54,59,537205,48
